
20693;17612;18507;19720;29445;29834;24862;24110;23875;19021;37784;20263;22922;19491;17995;19904;17843;17895;21185;25006;18601;19759;18042;19123;19611;28033;20222;21667;20937;20123;21606;19145;24620;19921;27661;19844;17999;19158;19529;23800;21745;21421;18933;19394;19193;23216;17900;26374;27681;20028;17849;22141;20840;20163;24545;30899;24732;22079;19548;23625;32337;21311;30397;26977;20915;25667;24313;19472;21799;23281;21024;27456;21770;30846;19069;26066;21504;18868;23003;18734;20125;18095;19186;18553;20762;18176;19770;17861;22056;18815;19352;19074;18411;18685;25395;25919;20795;19069;18514;20754;
70274;70953;55458;52818;47119;54290;58306;49205;56609;49035;47618;51855;55950;50317;55708;49136;54338;55183;48804;46031;49351;53243;79437;67538;59291;54496;55087;54544;49399;45845;54287;49448;52659;46936;49045;47317;53776;46071;47308;46643;46166;49784;49402;46029;45884;54283;46187;46539;46875;57492;45059;47154;45829;46589;55108;45091;44840;50670;47616;46517;46187;54130;46960;47951;45873;45275;49234;49718;45030;44963;48356;47335;45744;51028;57969;49186;51106;45822;45917;48993;45321;46814;46230;47276;48739;52466;45311;51020;49881;46616;47410;49433;45836;48586;46728;44934;47459;46530;51228;45008;
88887;84704;87732;88664;87479;87233;90533;89585;84501;87555;84858;88276;86660;89993;87877;85304;89977;88000;83948;86452;84574;88102;87443;93243;87176;86966;90423;86998;86161;92252;96228;86503;88095;89518;89414;94702;89330;98290;94022;85351;88166;91763;90929;84960;91088;88671;85571;101578;84906;88246;87685;94684;96151;85037;90971;83115;88830;86260;86429;84071;89888;87252;88750;87388;83904;86777;83901;87382;86683;89544;86958;91853;87205;88768;87002;87044;88790;83878;94584;83127;89344;90177;87984;91119;84696;89289;87161;86727;87129;88703;88025;85040;87221;91364;91237;83559;93555;87467;84186;89432;
138446;132977;136542;132597;140802;134535;128411;133055;137637;136183;134422;136886;134061;133331;137452;134588;134658;140393;134918;133186;135217;140065;137266;135130;134999;134310;130405;135230;133717;136074;133890;133106;134485;133130;137669;131742;130374;134933;136944;135385;133626;131665;140626;132379;133904;133504;140497;131366;133403;133024;140129;135121;133338;132709;169187;130932;130713;133127;154042;141074;142122;139187;136153;134475;133180;132458;141392;129863;134988;135419;140720;135493;129921;131985;135414;138861;134446;135030;132100;129535;134903;130094;132649;133406;134753;136053;136105;133254;137313;134470;132439;137517;140746;138173;141244;144711;138305;138762;137352;138620;
297129;299367;295668;301472;292446;301102;288131;299622;295669;287353;298701;291941;296248;292187;300131;292351;295853;290575;288131;292794;290021;295259;292487;290876;289939;311498;306166;299050;298012;327776;397017;532026;483663;462778;690510;305682;294542;298956;295298;296458;292027;296615;303312;289399;297513;288886;297285;294366;298681;292883;291704;300878;295272;292404;287415;294096;292934;295721;313287;302866;304974;299403;295718;294020;294711;297246;290324;288240;296039;290017;300368;293550;297601;296855;292762;292530;295358;291314;295277;295965;294396;296804;297483;294138;292353;296858;292895;300853;291572;297115;292721;290094;304233;292062;292926;293271;297197;298406;301431;301036;
770169;773204;792245;881108;812460;777497;772545;777545;790941;781272;795401;795558;776191;803226;771112;763295;768403;767387;763533;747048;762451;765240;779507;797747;752662;764984;753260;755549;756827;776375;759463;758235;758384;752710;759475;762068;759442;762532;771276;757638;799024;796203;920084;757094;701375;697359;699961;717631;707366;927152;1169849;959368;693469;693768;700133;693289;690822;694056;694782;692933;693851;693647;689886;708198;691917;691826;699151;692525;690243;695403;691405;690927;693310;691169;690898;690853;691003;694135;689692;689843;700263;691936;694968;693347;691605;692648;695323;700222;696277;692846;698418;691813;690583;689824;695002;698094;696147;692374;694907;687324;
1281124;1279763;1280825;1274565;1284688;1280418;1303943;1281486;1282454;1282133;1281579;1276266;1281238;1273534;1287857;1280161;1276331;1300364;1616401;2062804;1283802;1280266;1277821;1280437;1282006;1281534;1276791;1277291;1278869;1281766;1278617;1287374;1288854;1277330;1275847;1283481;1278893;1281542;1278232;1290150;1284047;1273544;1286447;1282661;1280187;1285253;1316859;1293290;1275966;1281861;1277531;1278133;1296778;1281176;1281908;1280946;1285909;1281952;1282357;1282363;1281043;1278796;1280353;1313820;1978140;1513379;1283461;1285846;1277570;1277652;1281513;1298809;1280075;1282020;1279851;1283079;1279643;1278350;1279059;1280633;1281997;1278904;1277699;1277361;1282584;1276077;1275318;1282634;1281800;1275507;1275477;1277783;1278752;1278145;1280877;1282218;1278366;1283267;1302820;1273585;
1978625;1977023;1980458;1985926;2021561;2055442;2858835;2308221;1995598;1997132;1977652;1967846;1970972;1979350;1972794;1975930;1970064;1971994;1980058;1980030;1974260;1973607;1975532;1975335;1970594;1972186;1970584;1978988;1992136;1989314;1983048;1978022;1975100;2021427;1981815;2061729;2851347;1977359;1980628;1974830;1969479;1987268;1974248;1975038;1971834;1980470;1977145;1975838;1968335;1978409;1968442;1979732;1978953;1981482;1995228;2000653;1979764;1974282;1995078;1981095;1974724;1985676;1974947;1972947;1979913;2345648;2584233;1992820;1985015;1980658;1987676;1973329;1972509;1981168;1970858;1983529;1977536;1972612;1978540;1978997;1983762;1974334;1976871;1973145;1965665;1975029;1971939;1992770;1969605;1976869;1979342;1970776;1971431;1972152;1990501;2554595;2413942;1982786;1978235;1978602;
2503100;2495693;2495485;2498716;2495230;2501936;2500821;2499599;2503476;2499307;2500386;2497116;2501557;2497927;2539748;2496325;2506396;2504371;2495992;2665017;3262992;2504374;2498600;2503437;2491349;2498845;2502889;2493601;2502213;2500836;2503660;2496975;2816218;2813053;2796637;2758433;2738683;2764454;2746170;2751413;2801723;2782021;4142902;2785244;2740423;2760074;2763749;2796097;2750545;2740332;2748386;2743760;2782006;2752438;2747215;2766146;2898752;2731027;2837500;2745369;2760498;2742004;2751454;3870483;2787866;2752282;2740091;2757837;2804518;2776239;2724307;2739788;2733673;2759972;2780641;2731441;2739477;2744461;2751840;2799451;2740238;2758531;2739021;2737652;3092512;3626204;2812296;2743707;2786321;2742603;2727709;2754904;2745269;2813066;2748259;2788813;2757804;2747304;2769683;2788430;
7156519;7596111;8366390;7022156;7023448;7050232;7084941;7169218;7146697;7141858;8513658;7093965;7287189;7083236;7168905;7067574;7156155;7103593;8673874;7123173;7145125;7102635;7055600;7058123;7086454;7054938;7276203;8110081;7052046;7028807;7017798;7041178;7034538;7105636;7087675;9399824;8335987;7414876;7497407;7226573;7080582;7099347;7115738;8502357;7130838;7094020;7124422;7115645;8293764;9230290;9009858;7308535;6903096;6882440;6996197;6902908;8434229;8868966;8580064;7198700;7160581;7131720;7107982;7560073;7054681;7167177;7810592;7446507;7034419;7038347;7125568;7065716;7099341;7070089;7153068;8411782;7237003;7183923;7074230;7118051;7071311;7074346;7099797;8140627;7077596;7374724;7389082;7076138;7140283;7056867;7032762;8275045;7050087;7105971;6964342;7057344;7173438;7093052;7081457;8177145;
13419959;13171860;13578114;14046427;15095409;13450233;13487417;13621793;15503066;14344501;13804431;13612349;15034706;13841225;13716460;13576126;13328802;15183416;13613588;13610558;13392235;15118612;15068258;13764734;13826423;14885374;13446397;13464824;13290372;14102945;14286643;13420173;13153976;13370241;14426146;13916455;13089751;13073357;14536109;13352510;12626610;13198146;12525983;13376648;12253141;12392884;12389789;12475584;13168860;12373333;12379846;12412208;13449886;12301813;12325652;12588778;12394789;13349675;12453599;13237205;13712694;12695822;13161349;12371344;12561577;12441454;13169353;12599356;12311488;12308954;12496057;13101614;13904969;13126061;13128500;13098691;13532962;12952908;12816508;12782079;13814133;12982768;12734772;12800077;12676336;14103520;13072705;12046764;12059979;12144992;12803466;12037354;12033163;12290688;12938186;12911390;12632312;12743056;12486290;13381965;
19306873;18996043;20301355;19573645;19397137;20298735;19211926;19542074;19826308;19474752;19642079;19744920;19919590;19150352;20026640;19541294;19278939;18846078;19608853;18623814;18645434;19436468;18637603;18781350;19756687;18630871;18653816;19740584;18679054;18659711;20267481;19111902;19093917;19971335;19081427;19166358;19881181;19089352;19168570;19820029;19485793;19141602;19293173;19844406;19132566;18966578;19342532;18662263;18689303;19339526;18635872;18668776;19333990;18620590;18672229;19399037;18766642;18646392;19462366;18692503;19124618;19203266;18859905;18615019;18634896;19284454;18637071;18647414;19335111;18797971;18657750;19471472;18623147;18667647;19447304;18660751;18801693;20398290;18767606;18672719;19501477;18636214;18663824;18649232;19353860;18642309;19094235;19869743;19138104;19157554;19710836;19212873;19192599;19737974;18847263;18847195;19492018;18837450;18837791;19710214;
